award_date,awardee_name,agency,award_amount,naics,sole_source,filter_result,filter_reason,first_8k_date,first_pr_date,last_dilutive_filing_date,dilutive_filing_type,agency_prior_win_count,ticker_confidence,score,ticker,market_cap,value_to_mcap_pct,entry_date,entry_price,exit_date,exit_price,exit_reason,pnl_pct,hit_tp,hit_sl,timed_out,tp_target,sl_target,return_t7,peak_pnl_pct
2023-03-01,"SOUTHEASTERN PAPER GROUP, LLC",Department of Defense,2200000.0,322220,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-22,9LINE LLC,Department of Agriculture,1931173.81,488190,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-31,"FORRESTER RESEARCH, INC.",General Services Administration,1819600.96,541519,False,low_score,Score 32 < threshold 40,,,,,0,high,32,,620343600,0.29,,,,,,,,,,,,,
2023-03-21,YOUNG & RUBICAM LLC,Department of Defense,3275000.0,541810,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,"MELWOOD HORTICULTURAL TRAINING CENTER, INC.",Department of Defense,8117574.3,561720,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,"SUN COUNTRY, INC.",Department of Defense,1689473.03,481112,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,KALITTA AIR LLC,Department of Defense,2039807.58,481112,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-28,EPSILON SYSTEMS SOLUTIONS INC,Department of Defense,7685037.33,336611,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,PHOENIX MANAGEMENT INC,Department of Defense,6122999.97,561210,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-09,"NTT DATA FEDERAL SERVICES, INC.",Department of Justice,1350000.0,541511,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
