trades,win_rate,avg_pnl_pct,total_pnl_pct,expectancy,profit_factor,avg_win,avg_loss,avg_peak_pnl,avg_return_t7,peak_pnl_pct,max_drawdown_pct,tp_pct,sl_pct,score_threshold,max_hold_days,max_mcap_M
49,36.7,-0.289,-14.18,-0.2894,0.901,7.176,4.624,20.08,0.0,9.24,41.38,10.0,6.0,5,7,500
81,32.1,-1.36,-110.18,-1.3603,0.615,6.771,5.204,13.25,0.0,9.24,113.41,10.0,6.0,5,7,1000
20,30.0,0.335,6.69,0.3348,1.307,4.75,1.557,4.95,0.0,11.23,8.44,12.0,2.0,5,1,100
23,30.4,0.187,4.31,0.1874,1.159,4.499,1.699,4.81,0.0,11.23,11.12,12.0,2.0,5,1,150
26,26.9,-0.087,-2.26,-0.0869,0.933,4.499,1.776,4.26,0.0,11.23,13.81,12.0,2.0,5,1,200
33,27.3,-0.022,-0.72,-0.0218,0.982,4.348,1.66,3.89,0.0,11.23,13.24,12.0,2.0,5,1,300
49,28.6,-0.057,-2.81,-0.0574,0.956,4.366,1.827,3.8,0.0,11.23,15.4,12.0,2.0,5,1,500
81,24.7,-0.713,-57.75,-0.713,0.545,3.461,2.081,2.67,0.0,11.23,59.04,12.0,2.0,5,1,1000
20,20.0,-0.437,-8.74,-0.4367,0.704,5.199,1.846,5.51,0.0,11.23,13.34,12.0,2.0,5,2,100
23,21.7,-0.415,-9.55,-0.4152,0.726,5.071,1.939,5.37,0.0,11.23,16.03,12.0,2.0,5,2,150
26,19.2,-0.653,-16.97,-0.6525,0.599,5.071,2.015,4.76,0.0,11.23,18.72,12.0,2.0,5,2,200
33,24.2,-0.343,-11.31,-0.3427,0.764,4.586,1.92,4.48,0.0,11.23,16.37,12.0,2.0,5,2,300
49,26.5,-0.178,-8.72,-0.1779,0.881,4.978,2.04,4.36,0.0,11.23,20.54,12.0,2.0,5,2,500
81,21.0,-0.846,-68.56,-0.8465,0.508,4.163,2.177,3.07,0.0,11.23,68.56,12.0,2.0,5,2,1000
20,20.0,-0.081,-1.62,-0.0809,0.947,7.283,1.922,6.07,0.0,11.23,13.2,12.0,2.0,5,3,100
23,21.7,-0.06,-1.39,-0.0602,0.962,6.948,2.007,5.86,0.0,11.23,15.89,12.0,2.0,5,3,150
26,19.2,-0.325,-8.44,-0.3245,0.805,6.948,2.056,5.19,0.0,11.23,18.58,12.0,2.0,5,3,200
33,21.2,-0.358,-11.8,-0.3577,0.773,5.74,1.999,4.82,0.0,11.23,25.25,12.0,2.0,5,3,300
49,22.4,-0.261,-12.8,-0.2612,0.842,6.209,2.134,4.65,0.0,11.23,22.08,12.0,2.0,5,3,500
81,19.8,-0.951,-77.07,-0.9515,0.492,4.665,2.334,3.27,0.0,11.23,77.07,12.0,2.0,5,3,1000
20,20.0,0.484,9.68,0.4839,1.311,10.194,1.944,40.87,0.0,11.23,9.72,12.0,2.0,5,4,100
23,21.7,0.675,15.53,0.6753,1.426,10.401,2.026,36.26,0.0,11.23,12.41,12.0,2.0,5,4,150
26,19.2,0.314,8.15,0.3137,1.186,10.401,2.088,32.08,0.0,11.23,12.41,12.0,2.0,5,4,200
33,24.2,0.326,10.75,0.3257,1.202,7.982,2.124,26.05,0.0,11.23,17.79,12.0,2.0,5,4,300
49,24.5,0.256,12.53,0.2558,1.151,7.96,2.243,18.99,0.0,11.23,15.29,12.0,2.0,5,4,500
81,19.8,-0.647,-52.38,-0.6467,0.663,6.454,2.395,12.0,0.0,11.23,53.26,12.0,2.0,5,4,1000
20,25.0,0.958,19.16,0.9579,1.621,10.003,2.057,40.97,0.0,11.23,9.72,12.0,2.0,5,5,100
